common_name,scientific_name,order,family,genus,species,
shortwinged mole cricket,Neoscapteriscus abbreviatus (Scudder),Orthoptera,Gryllotalpidae,Neoscapteriscus,abbreviatus,
shothole borer,Scolytus rugulosus (Müller),Coleoptera,Curculionidae,Scolytus,rugulosus,
Sigmoid fungus beetle,Cryptophagus varus Woodroffe & Coombs,Coleoptera,Cryptophagidae,Cryptophagus,varus,
silkworm,Bombyx mori (Linnaeus),Lepidoptera,Bombycidae,Bombyx,mori,
silky ant,Formica fusca Linnaeus,Hymenoptera,Formicidae,Formica,fusca,
silky cane weevil,Metamasius hemipterus sericeus (Olivier),Coleoptera,Curculionidae,Metamasius,hemipterus sericeus,
silver fir beetle,Pseudohylesinus sericeus (Mannerheim),Coleoptera,Curculionidae,Pseudohylesinus,sericeus,
silverfish,Lepisma saccharina Linnaeus,Thysanura,Lepismatidae,Lepisma,saccharina,
silverspotted skipper,Epargyreus clarus (Cramer),Lepidoptera,Hesperiidae,Epargyreus,clarus,
silverspotted tiger moth,Lophocampa argentata (Packard),Lepidoptera,Erebidae,Lophocampa,argentata,
sinuate lady beetle,Hippodamia sinuata Mulsant,Coleoptera,Coccinellidae,Hippodamia,sinuata,
sinuate peartree borer,Agrilus sinuatus (Oliver),Coleoptera,Buprestidae,Agrilus,sinuatus,
Sitka bumble bee,Bombus sitkensis Nylander,Hymenoptera,Apidae,Bombus,sitkensis,
Sitka spruce weevil*,Pissodes strobi (Peck),Coleoptera,Curculionidae,Pissodes,strobi,
sixspined ips,Ips calligraphus (Germar),Coleoptera,Curculionidae,Ips,calligraphus,
sixspotted mite,Eotetranychus sexmaculatus (Riley),Acari,Tetranychidae,Eotetranychus,sexmaculatus,
sixspotted thrips,Scolothrips sexmaculatus (Pergande),Thysanoptera,Thripidae,Scolothrips,sexmaculatus,
slash pine flower thrips,Gnophothrips fuscus (Morgan),Thysanoptera,Phlaeothripidae,Gnophothrips,fuscus,
slash pine sawfly,Neodiprion merkeli Ross,Hymenoptera,Diprionidae,Neodiprion,merkeli,
slash pine seedworm,Cydia anaranjada (Miller),Lepidoptera,Tortricidae,Cydia,anaranjada,
slender duck louse,Anaticola crassicornis (Scopoli),Phthiraptera,Philopteridae,Anaticola,crassicornis,
slender goose louse,Anaticola anseris (Linnaeus),Phthiraptera,Philopteridae,Anaticola,anseris,
slender guinea louse,Lipeurus numidae (Denny),Phthiraptera,Philopteridae,Lipeurus,numidae,
slender guineapig louse,Gliricola porcelli (Schrank),Phthiraptera,Gyropidae,Gliricola,porcelli,
slender pigeon louse,Columbicola columbae (Linnaeus),Phthiraptera,Philopteridae,Columbicola,columbae,
slender seedcorn beetle,Clivina impressifrons LeConte,Coleoptera,Carabidae,Clivina,impressifrons,
slender turkey louse,Oxylipeurus polytrapezius (Burmeister),Phthiraptera,Philopteridae,Oxylipeurus,polytrapezius,
slender twig ant,Pseudomyrmex gracilis (Fabricius),Hymenoptera,Formicidae,Pseudomyrmex,gracilis,
slenderhorned flour beetle,Gnatocerus maxillosus (Fabricius),Coleoptera,Tenebrionidae,Gnatocerus,maxillosus,
small chestnut weevil,Curculio sayi (Gyllenhal),Coleoptera,Curculionidae,Curculio,sayi,
small hive beetle,Aethina tumida (Murray),Coleoptera,Nitidulidae,Aethina,tumida,
small milkweed bug,Lygaeus kalmii Stäl,Hemiptera,Lygaeidae,Lygaeus,kalmii,
small pigeon louse,Campanulotes bidentatus compar (Burmeister),Phthiraptera,Philopteridae,Campanulotes,bidentatus compar,
small southern pine engraver,Ips avulsus (Eichhoff),Coleoptera,Curculionidae,Ips,avulsus,
small spruce bud scale,Physokermes hemicryphus (Dalman),Hemiptera,Coccidae,Physokermes,hemicryphus,
smaller European elm bark beetle,Scolytus multistriatus (Marsham),Coleoptera,Curculionidae,Scolytus,multistriatus,
smaller Hawaiian cutworm,Diarsia dislocata (Walker),Lepidoptera,Noctuidae,Diarsia,dislocata,
smaller lantana butterfly,Strymon bazochii (Bates),Lepidoptera,Lycaenidae,Strymon,bazochii,
smaller Mexican pine beetle,Dendroctonus mexicanus Hopkins,Coleoptera,Curculionidae,Dendroctonus,mexicanus,
smaller rice leafminer,Hydrellia griseola Fall,Diptera,Ephydridae,Hydrellia,griseola,
smaller yellow ant,Acanthomyops claviger (Roger),Hymenoptera,Formicidae,Acanthomyops,claviger,
smalleyed flour beetle,Palorus ratzeburgii (Wissmann),Coleoptera,Tenebrionidae,Palorus,ratzeburgii,
smartweed borer,Ostrinia obumbratalis (Lederer),Lepidoptera,Crambidae,Ostrinia,obumbratalis,
smeared dagger moth,Acronicta oblinita (J.E. Smith),Lepidoptera,Noctuidae,Acronicta,oblinita,
Smith blue,Euphilotes enoptes smithi (Mattoni),Lepidoptera,Lycaenidae,Euphilotes,enoptes smithi,
smokybrown cockroach,Periplaneta fuliginosa (Serville),Blattodea,Blattidae,Periplaneta,fuliginosa,
smut beetle,Phalacrus politus Melsheimer,Coleoptera,Phalacridae,Phalacrus,politus,
snowball aphid,Ceruraphis viburnicola (Gillette),Hemiptera,Aphididae,Ceruraphis,viburnicola,
snowy tree cricket,Oecanthus fultoni (T. J. Walker),Orthoptera,Gryllidae,Oecanthus,fultoni,
solanaceous treehopper,Antianthe expansa (Germar),Hemiptera,Membracidae,Antianthe,expansa,
solitary oak leafminer,Cameraria hamadryadella (Clemens),Lepidoptera,Gracillariidae,Cameraria,hamadryadella,
sonchus fly,Ensina sonchi (Linnaeus),Diptera,Tephritidae,Ensina,sonchi,
Sonoran bumble bee,Bombus pensylvanicus subsp. sonorus Say,Hymenoptera,Apidae,Bombus,pensylvanicus sonorus,
Sonoran tent caterpillar,Malacosoma tigris (Dyar),Lepidoptera,Lasiocampidae,Malacosoma,tigris,
sorghum midge,Contarinia sorghicola (Coquillett),Diptera,Cecidomyiidae,Contarinia,sorghicola,
sorghum shoot fly,Atherigona soccata (Rondani),Diptera,Muscidae,Atherigona,soccata,
sorghum webworm,Nola sorghiella Riley,Lepidoptera,Nolidae,Nola,sorghiella,
sourbush seed fly,Acinia picturata (Snow),Diptera,Tephritidae,Acinia,picturata,
South African emex weevil,Apion antiquum Gyllenhal,Coleoptera,Brentidae,Apion,antiquum,
South American rice miner,Hydrellia wirthi Korytkowski,Diptera,Ephydridae,Hydrellia,wirthi,
south coastal coneworm,Dioryctria ebeli Mutuura & Munroe,Lepidoptera,Pyralidae,Dioryctria,ebeli,
southeastern blueberry bee,Habropoda laboriosa (Fabricius),Hymenoptera,Anthophoridae,Habropoda,laboriosa,
southern armyworm,Spodoptera eridania (Stoll),Lepidoptera,Noctuidae,Spodoptera,eridania,
southern beet webworm,Herpetogramma bipunctalis (Fabricius),Lepidoptera,Crambidae,Herpetogramma,bipunctalis,
southern black widow spider,Latrodectus mactans (Fabricius),Araneae,Theridiidae,Latrodectus,mactans,
southern buffalo gnat,Cnephia pecuarum (Riley),Diptera,Simuliidae,Cnephia,pecuarum,
southern cabbageworm,Pontia protodice (Boisduval & LeConte),Lepidoptera,Pieridae,Pontia,protodice,
southern cattle tick,Rhipicephalus microplus (Canestrini),Acari,Ixodidae,Rhipicephalus,microplus,
southern chinch bug,Blissus insularis Barber,Hemiptera,Blissidae,Blissus,insularis,
southern corn billbug,Sphenophorus callosus (Olivier),Coleoptera,Curculionidae,Sphenophorus,callosus,
southern corn rootworm*,Diabrotica undecimpunctata howardi Barber,Coleoptera,Chrysomelidae,Diabrotica,undecimpunctata howardi,
southern corn stalk borer,Diatraea crambidoides (Grote),Lepidoptera,Crambidae,Diatraea,crambidoides,
southern fire ant,Solenopsis xyloni McCook,Hymenoptera,Formicidae,Solenopsis,xyloni,
southern garden leafhopper,Empoasca solana DeLong,Hemiptera,Cicadellidae,Empoasca,solana,
southern giant hornet,Vespa soror du Buysson,Hymenoptera,Vespidae,Vespa,soror,
southern green stink bug,Nezara viridula (Linnaeus),Hemiptera,Pentatomidae,Nezara,viridula,
southern house mosquito,Culex quinquefasciatus Say,Diptera,Culicidae,Culex,quinquefasciatus,
southern lyctus beetle,Lyctus planicollis LeConte,Coleoptera,Lyctidae,Lyctus,planicollis,
southern masked chafer,Cyclocephala lurida Bland,Coleoptera,Scarabaeidae,Cyclocephala,lurida,
southern mole cricket,Neoscapteriscus borellii (Giglio-Tos),Orthoptera,Gryllotalpidae,Neoscapteriscus,borellii,
southern pine beetle,Dendroctonus frontalis Zimmermann,Coleoptera,Curculionidae,Dendroctonus,frontalis,
southern pine coneworm,Dioryctria amatella (Hulst),Lepidoptera,Pyralidae,Dioryctria,amatella,
southern pine root weevil,Hylobius aliradicis Warner,Coleoptera,Curculionidae,Hylobius,aliradicis,
southern pine sawyer,Monochamus titillator (Fabricius),Coleoptera,Cerambycidae,Monochamus,titillator,
southern plains bumble bee,Bombus fraternus (Smith),Hymenoptera,Apidae,Bombus,fraternus,
southern potato wireworm,Conoderus falli (Lane),Coleoptera,Elateridae,Conoderus,falli,
southern red mite,Oligonychus ilicis (McGregor),Acari,Tetranychidae,Oligonychus,ilicis,
southern tamarisk beetle,Diorhabda meridionalis Berti and Rapilly,Coleoptera,Chrysomelidae,Diorhabda,meridionalis,
southwestern corn borer,Diatraea grandiosella Dyar,Lepidoptera,Crambidae,Diatraea,grandiosella,
southwestern Hercules beetle,Dynastes granti Horn,Coleoptera,Scarabaeidae,Dynastes,granti,
southwestern ironclad beetle,Zopherus nodulosus haldemani Horn,Coleoptera,Zopheridae,Zopherus,nodulosus haldemani,
southwestern pine tiger moth,"Lophocampa ingens (H. Edwards, 1881)",Lepidoptera,Erebidae,Lophocampa,ingens,
southwestern pine tip moth,Rhyacionia neomexicana (Dyar),Lepidoptera,Tortricidae,Rhyacionia,neomexicana,
southwestern squash vine borer,Melittia calabaza Duckworth & Eichlin,Lepidoptera,Sesiidae,Melittia,calabaza,
southwestern tent caterpillar,Malacosoma incurvum (Hy. Edwards),Lepidoptera,Lasiocampidae,Malacosoma,incurvum,
sow thistle aphid,Hyperomyzus lactucae (Linnaeus),Hemiptera,Aphididae,Hyperomyzus,lactucae,
soybean aphid,Aphis glycines Matsumura,Hemiptera,Aphididae,Aphis,glycines,
soybean gall midge,Resseliella maxima Gagné,Hemiptera,Cecidomyiidae,Resseliella,maxima,
soybean looper,Chrysodeixis includens (Walker),Lepidoptera,Noctuidae,Chrysodeixis,includens,
soybean nodule fly,Rivellia quadrifasciata (Macquart),Diptera,Platystomatidae,Rivellia,quadrifasciata,
soybean thrips,Neohydatothrips variabilis (Beach),Thysanoptera,Thripidae,Neohydatothrips,variabilis,
Spanishfly,Lytta vesicatoria (Linnaeus),Coleoptera,Meloidae,Lytta,vesicatoria,
speckled green fruitworm,Orthosia hibisci (Guenée),Lepidoptera,Noctuidae,Orthosia,hibisci,
spicebush swallowtail,Papilio troilus Linnaeus,Lepidoptera,Papilionidae,Papilio,troilus,
spider mite destroyer,Stethorus punctum picipes Casey,Coleoptera,Coccinellidae,Stethorus,punctum picipes,
spinach flea beetle,Disonycha xanthomelas (Dalman),Coleoptera,Chrysomelidae,Disonycha,xanthomelas,
spinach leafminer,Pegomya hyoscyami (Panzer),Diptera,Anthomyiidae,Pegomya,hyoscyami,
spined assassin bug,Sinea diadema (Fabricius),Hemiptera,Reduviidae,Sinea,diadema,
spined rat louse,Polyplax spinulosa (Burmeister),Phthiraptera,Polyplacidae,Polyplax,spinulosa,
spined soldier bug,Podisus maculiventris (Say),Hemiptera,Pentatomidae,Podisus,maculiventris,
spined stilt bug,Jalysus wickhami Van Duzee,Hemiptera,Berytidae,Jalysus,wickhami,
spiny assassin bug,Polididus armatissimus Stål,Hemiptera,Reduviidae,Polididus,armatissimus,
spiny grass aphid,Sipha elegans Del Guercio,Hemiptera,Aphididae,Sipha,elegans,
spiny oakworm,Anisota stigma (Fabricius),Lepidoptera,Saturniidae,Anisota,stigma,
spinybacked spider,Gasteracantha cancriformis (Linnaeus),Araneae,Araneidae,Gasteracantha,cancriformis,
spiraling whitefly,Aleurodicus dispersus Russell,Hemiptera,Aleyrodidae,Aleurodicus,dispersus,
spirea aphid,Aphis spiraecola Patch,Hemiptera,Aphididae,Aphis,spiraecola,
spongy moth,Lymantria dispar (L.),Lepidoptera,Erebidae,Lymantria,dispar,
spotted alfalfa aphid,Therioaphis trifolii forma maculata (Buckton),Hemiptera,Aphididae,Therioaphis,trifolii forma maculata,
spotted asparagus beetle,Crioceris duodecimpunctata (Linnaeus),Coleoptera,Chrysomelidae,Crioceris,duodecimpunctata,
spotted beet webworm,Hymenia perspectalis (Hübner),Lepidoptera,Crambidae,Hymenia,perspectalis,
spotted blister beetle,Epicauta maculata (Say),Coleoptera,Meloidae,Epicauta,maculata,
spotted cucumber beetle*,Diabrotica undecimpunctata howardi Barber,Coleoptera,Chrysomelidae,Diabrotica,undecimpunctata howardi,
spotted cutworm,Xestia spp.,Lepidoptera,Noctuidae,Xestia,spp.,
spotted garden slug,Limax maximus Linnaeus,Stylommatophora,Limacidae,Limax,maximus,
spotted hairy fungus beetle,Mycetophagus quadriguttatus P. Miner,Coleoptera,Mycetophagidae,Mycetophagus,quadriguttatus,
spotted lanternfly,Lycorma delicatula (White),Hemiptera,Fulgoridae,Lycorma,delicatula,
spotted loblolly pine sawfly,Neodiprion taedae taedae Ross,Hymenoptera,Diprionidae,Neodiprion,taedae taedae,
spotted Mediterranean cockroach,Ectobius pallidus (Olivier),Blattodea,Blattellidae,Ectobius,pallidus,
spotted pine sawyer,Monochamus mutator LeConte,Coleoptera,Cerambycidae,Monochamus,mutator,
spotted tentiform leafminer,Phyllonorycter blancardella (Fabricius),Lepidoptera,Gracillariidae,Phyllonorycter,blancardella,
spotted tussock moth,Lophocampa maculata Harris,Lepidoptera,Erebidae,Lophocampa,maculata,
spotted-legged banana spider,Cupiennius getazi Simon,Araneae,Ctenidae,Cupiennius,getazi,
spotted-wing drosophila,Drosophila suzukii (Matsumura),Diptera,Drosophilidae,Drosophila,suzukii,
spottedwinged antlion,Dendroleon obsoletus (Say),Neuroptera,Myrmeleontidae,Dendroleon,obsoletus,
spring cankerworm,Paleacrita vernata (Peck),Lepidoptera,Geometridae,Paleacrita,vernata,
spring tiphia,Tiphia vernalis (Rohwer),Hymenoptera,Tiphiidae,Tiphia,vernalis,
spruce aphid,Elatobium abietinum (Walker),Hemiptera,Aphididae,Elatobium,abietinum,
spruce beetle,Dendroctonus rufipennis Kirby,Coleoptera,Curculionidae,Dendroctonus,rufipennis,
spruce bud midge,Dasineura swainei (Felt),Diptera,Cecidomyiidae,Dasineura,swainei,
spruce bud moth,Zeiraphera canadensis Mutuura & Freeman,Lepidoptera,Tortricidae,Zeiraphera,canadensis,
spruce bud scale,Physokermes piceae (Schrank),Hemiptera,Coccidae,Physokermes,piceae,
spruce budworm,Choristoneura fumiferana (Clemens),Lepidoptera,Tortricidae,Choristoneura,fumiferana,
spruce coneworm,Dioryctria reniculelloides Mutuura & Munroe,Lepidoptera,Pyralidae,Dioryctria,reniculelloides,
spruce mealybug,Puto sandini Washburn,Hemiptera,Pseudococcidae,Puto,sandini,
spruce needleminer,Taniva albolineana (Kearfott),Lepidoptera,Tortricidae,Taniva,albolineana,
spruce seed moth,Cydia strobilella (Linnaeus),Lepidoptera,Tortricidae,Cydia,strobilella,
spruce spider mite,Oligonychus ununguis (Jacobi),Acari,Tetranychidae,Oligonychus,ununguis,
spurred bark beetle,Cryphalus dilutus Eichhoff,Coleoptera,Curculionidae,Cryphalus,dilutus,
squarenecked grain beetle,Cathartus quadricollis (Guenée),Coleoptera,Silvanidae,Cathartus,quadricollis,
squarenosed fungus beetle,Lathridius minutus (Linnaeus),Coleoptera,Lathridiidae,Lathridius,minutus,
squash beetle,Epilachna borealis (Fabricius),Coleoptera,Coccinellidae,Epilachna,borealis,
squash bug,Anasa tristis (De Geer),Hemiptera,Coreidae,Anasa,tristis,
squash vine borer,Melittia cucurbitae (Harris),Lepidoptera,Sesiidae,Melittia,cucurbitae,
stable fly,Stomoxys calcitrans (Linnaeus),Diptera,Muscidae,Stomoxys,calcitrans,
stalk borer,Papaipema nebris (Guenée),Lepidoptera,Noctuidae,Papaipema,nebris,
star jasmine thrips,Thrips orientalis (Bagnall),Thysanoptera,Thripidae,Thrips,orientalis,
steelblue lady beetle,Halmus chalybeus (Boisduval),Coleoptera,Coccinellidae,Halmus,chalybeus,
Stevens leafhopper,Empoasca stevensi Young,Hemiptera,Cicadellidae,Empoasca,stevensi,
sticktight flea,Echidnophaga gallinacea (Westwood),Siphonaptera,Pulicidae,Echidnophaga,gallinacea,
stinging rose caterpillar,Parasa indetermina (Boisduval),Lepidoptera,Limacodidae,Parasa,indetermina,
stink beetle,Nomius pygameus (Dejean),Coleoptera,Carabidae,Nomius,pygameus,
stored nut moth,Aphomia gularis (Zeller),Lepidoptera,Pyralidae,Aphomia,gularis,
straw itch mite,Pyemotes tritici (Lagrèze-Fossat & Montané),Acari,Pyemotidae,Pyemotes,tritici,
strawberry aphid,Chaetosiphon fragaefolii (Cockerell),Hemiptera,Aphididae,Chaetosiphon,fragaefolii,
strawberry bud weevil,Anthonomus signatus Say,Coleoptera,Curculionidae,Anthonomus,signatus,
strawberry crown borer,Tyloderma fragariae (Riley),Coleoptera,Curculionidae,Tyloderma,fragariae,
strawberry crown moth,Synanthedon bibionipennis (Boisduval),Lepidoptera,Sesiidae,Synanthedon,bibionipennis,
strawberry crownminer,Monochroa fragariae (Busck),Lepidoptera,Gelechiidae,Monochroa,fragariae,
strawberry leafroller,Ancylis comptana (Frölich),Lepidoptera,Tortricidae,Ancylis,comptana,
strawberry root aphid,Aphis forbesi Weed,Hemiptera,Aphididae,Aphis,forbesi,
strawberry root weevil,Otiorhynchus ovatus (Linnaeus),Coleoptera,Curculionidae,Otiorhynchus,ovatus,
strawberry rootworm,Paria fragariae Wilcox,Coleoptera,Chrysomelidae,Paria,fragariae,
strawberry sap beetle,Stelidota geminata (Say),Coleoptera,Nitidulidae,Stelidota,geminata,
strawberry spider mite,Tetranychus turkestani Ugarov & Nikolski,Acari,Tetranychidae,Tetranychus,turkestani,
strawberry whitefly,Trialeurodes packardi (Morrill),Hemiptera,Aleyrodidae,Trialeurodes,packardi,
striped alder sawfly,Hemichroa crocea (Geoffroy),Hymenoptera,Tenthredinidae,Hemichroa,crocea,
striped ambrosia beetle,Trypodendron lineatum (Olivier),Coleoptera,Curculionidae,Trypodendron,lineatum,
striped blister beetle,Epicauta vittata (Fabricius),Coleoptera,Meloidae,Epicauta,vittata,
striped cucumber beetle,Acalymma vittatum (Fabricius),Coleoptera,Chrysomelidae,Acalymma,vittatum,
striped cutworm,Euxoa tessellata (Harris),Lepidoptera,Noctuidae,Euxoa,tessellata,
striped earwig,Labidura riparia (Pallas),Dermaptera,Labiduridae,Labidura,riparia,
striped flea beetle,Phyllotreta striolata (Fabricius),Coleoptera,Chrysomelidae,Phyllotreta,striolata,
striped garden caterpillar,Trichordestra legitima (Grote),Lepidoptera,Noctuidae,Trichordestra,legitima,
striped horse fly,Tabanus lineola Fabricius,Diptera,Tabanidae,Tabanus,lineola,
striped lynx spider,Oxyopes salticus Hentz,Araneae,Oxyopidae,Oxyopes,salticus,
striped mealybug,Ferrisia virgata (Cockerell),Hemiptera,Pseudococcidae,Ferrisia,virgata,
striped pine scale,Toumeyella pini (King),Hemiptera,Coccidae,Toumeyella,pini,
subtropical pine tip moth,Rhyacionia subtropica Miller,Lepidoptera,Tortricidae,Rhyacionia,subtropica,
subtropical tamarisk beetle,Diorhabda sublineata (Lucas),Coleoptera,Chrysomelidae,Diorhabda,sublineata,
subulina snail,Subulina octona (Bruguière),Stylommatophora,Subulinidae,Subulina,octona,
suckfly,Tupiocoris notatus (Distant),Hemiptera,Miridae,Tupiocoris,notatus,
sugar maple borer,Glycobius speciosus (Say),Coleoptera,Cerambycidae,Glycobius,speciosus,
sugarbeet crown borer,Hulstia undulatella (Clemens),Lepidoptera,Pyralidae,Hulstia,undulatella,
sugarbeet root aphid,Pemphigus populivenae Fitch,Hemiptera,Aphididae,Pemphigus,populivenae,
sugarbeet root maggot,Tetanops myopaeformis (Röder),Diptera,Otitidae,Tetanops,myopaeformis,
sugarbeet wireworm,Limonius californicus (Mannerheim),Coleoptera,Elateridae,Limonius,californicus,
sugarcane aphid,Melanaphis sacchari (Zehntner),Hemiptera,Aphididae,Melanaphis,sacchari,
sugarcane beetle,Euetheola humilis rugiceps (LeConte),Coleoptera,Scarabaeidae,Euetheola,humilis rugiceps,
sugarcane borer,Diatraea saccharalis (Fabricius),Lepidoptera,Crambidae,Diatraea,saccharalis,
sugarcane bud moth,Erechthias flavistriata (Walsingham),Lepidoptera,Tineidae,Erechthias,flavistriata,
sugarcane delphacid,Perkinsiella saccharicida Kirkaldy,Hemiptera,Delphacidae,Perkinsiella,saccharicida,
sugarcane lace bug,Leptodictya tabida (Herrich-Schaeffer),Hemiptera,Tingidae,Leptodictya,tabida,
sugarcane leaf mite,Oligonychus indicus (Hirst),Acari,Tetranychidae,Oligonychus,indicus,
sugarcane leafmining beetle,Aphanisticus cochinchinae seminulum Obenberger,Coleoptera,Buprestidae,Aphanisticus,cochinchinae seminulum,
sugarcane leafroller,Omiodes accepta (Butler),Lepidoptera,Crambidae,Omiodes,accepta,
sugarcane stalk mite,Steneotarsonemus bancrofti (Michael),Acari,Tarsonemidae,Steneotarsonemus,bancrofti,
sugarcane thrips,Stenchaetothrips minutus (van Deventer),Thysanoptera,Thripidae,Stenchaetothrips,minutus,
sumac flea beetle,Blepharida rhois (Forster),Coleoptera,Chrysomelidae,Blepharida,rhois,
sunflower beetle,Zygogramma exclamationis (Fabricius),Coleoptera,Chrysomelidae,Zygogramma,exclamationis,
sunflower bud moth,Suleima helianthana (Riley),Lepidoptera,Tortricidae,Suleima,helianthana,
sunflower headclipping weevil,Haplorhynchites aeneus (Boheman),Coleoptera,Attelabidae,Haplorhynchites,aeneus,
sunflower maggot,Strauzia longipennis (Wiedemann),Diptera,Tephritidae,Strauzia,longipennis,
sunflower midge,Contarinia schulzi Gagné,Diptera,Cecidomyiidae,Contarinia,schulzi,
sunflower moth,Homoeosoma electellum (Hulst),Lepidoptera,Pyralidae,Homoeosoma,electellum,
sunflower root weevil,Baris strenua (LeConte),Coleoptera,Curculionidae,Baris,strenua,
sunflower seed midge,Neolasioptera murtfeldtiana (Felt),Diptera,Cecidomyiidae,Neolasioptera,murtfeldtiana,
sunflower spittlebug,Clastoptera xanthocephala Germar,Hemiptera,Cercopidae,Clastoptera,xanthocephala,
sunflower stem weevil,Cylindrocopturus adspersus (LeConte),Coleoptera,Curculionidae,Cylindrocopturus,adspersus,
Surinam cockroach,Pycnoscelus surinamensis (Linnaeus),Blattodea,Blaberidae,Pycnoscelus,surinamensis,
Swaine jack pine sawfly,Neodiprion swainei Middleton,Hymenoptera,Diprionidae,Neodiprion,swainei,
swallow bug,Oeciacus vicarius Horvath,Hemiptera,Cimicidae,Oeciacus,vicarius,
Swede midge,Contarinia nasturtii Kieffer,Diptera,Cecidomyiidae,Contarinia,nasturtii,
sweet potato delphacid,Aloha ipomoeae Kirkaldy,Hemiptera,Delphacidae,Aloha,ipomoeae,
sweetclover aphid,Therioaphis riehmi (Börner),Hemiptera,Aphididae,Therioaphis,riehmi,
sweetclover root borer,Walshia miscecolorella (Chambers),Lepidoptera,Cosmopterigidae,Walshia,miscecolorella,
sweetclover weevil,Sitona cylindricollis (Förster),Coleoptera,Curculionidae,Sitona,cylindricollis,
sweetfern leaf casebearer,Acrobasis comptoniella Hulst,Lepidoptera,Pyralidae,Acrobasis,comptoniella,
sweetpotato flea beetle,Chaetocnema confinis Crotch,Coleoptera,Chrysomelidae,Chaetocnema,confinis,
sweetpotato hornworm,Agrius cingulata (Fabricius),Lepidoptera,Sphingidae,Agrius,cingulata,
sweetpotato leaf beetle,Typophorus nigritus viridicyaneus (Crotch),Coleoptera,Chrysomelidae,Typophorus,nigritus viridicyaneus,
sweetpotato leafminer,Bedellia orchilella Walsingham,Lepidoptera,Bedellidae,Bedellia,orchilella,
sweetpotato leafroller,Lygropia tripunctata (Fabricius),Lepidoptera,Crambidae,Lygropia,tripunctata,
sweetpotato vine borer,Omphisa anastomosalis (Guenée),Lepidoptera,Crambidae,Omphisa,anastomosalis,
sweetpotato weevil,Cylas formicarius elegantulus (Summers),Coleoptera,Curculionidae,Cylas,formicarius elegantulus,
sweetpotato whitefly,Bemisia tabaci (Gennadius),Hemiptera,Aleyrodidae,Bemisia,tabaci,
sycamore lace bug,Corythucha ciliata (Say),Hemiptera,Tingidae,Corythucha,ciliata,
sycamore leaf beetle,Neochlamisus platani (Brown),Coleoptera,Chrysomelidae,Neochlamisus,platani,
sycamore tussock moth,Halysidota harrisii Walsh,Lepidoptera,Erebidae,Halysidota,harrisii,
Tahitian coconut weevil,Diocalandra taitensis (Guérin-Méneville),Coleoptera,Curculionidae,Diocalandra,taitensis,
tamarind weevil,Sitophilus linearis (Herbst),Coleoptera,Curculionidae,Sitophilus,linearis,
tamarix leafhopper,Opsius stactogalus Fieber,Hemiptera,Cicadellidae,Opsius,stactogalus,
tarnished plant bug,Lygus lineolaris (Palisot de Beauvois),Hemiptera,Miridae,Lygus,lineolaris,
taro root aphid,Patchiella reaumuri (Kaltenbach),Hemiptera,Aphididae,Patchiella,reaumuri,
tattooed wasps,Zagrammosoma spp. (Ashmead) ,Hymenoptera,Eulophidae,Zagrammosoma,spp.,
tawny crazy ant,Nylanderia fulva (Mayr),Hymenoptera,Formicidae,Nylanderia,fulva,
tawny garden slug,Limacus flavus (Linnaeus),Stylommatophora,Limacidae,Limacus,flavus,
tawny mole cricket,Neoscapteriscus vicinus (Scudder),Orthoptera,Gryllotalpidae,Neoscapteriscus,vicinus,
tea scale,Fiorinia theae Green,Hemiptera,Diaspididae,Fiorinia,theae,
tea shothole borer,Euwallacea perbrevis (Schedl),Coleoptera,Curculionidae,Euwallacea,perbrevis,
tenlined June beetle,Polyphylla decemlineata (Say),Coleoptera,Scarabaeidae,Polyphylla,decemlineata,
tenspotted lady beetle,Bothrocalvia pupillata (Swartz),Coleoptera,Coccinellidae,Bothrocalvia,pupillata,
terrapin scale,Mesolecanium nigrofasciatum (Pergande),Hemiptera,Coccidae,Mesolecanium,nigrofasciatum,
tessellated scale,Eucalymnatus tessellatus (Signoret),Hemiptera,Coccidae,Eucalymnatus,tessellatus,
Texas citrus mite,Eutetranychus banksi (McGregor),Acari,Tetranychidae,Eutetranychus,banksi,
Texas leafcutting ant,Atta texana (Buckley),Hymenoptera,Formicidae,Atta,texana,
thief ant,Solenopsis molesta (Say),Hymenoptera,Formicidae,Solenopsis,molesta,
thirteenspotted lady beetle,Hippodamia tredecimpunctata tibialis (Say),Coleoptera,Coccinellidae,Hippodamia,tredecimpunctata tibialis,
thistle aphid,Brachycaudus cardui (Linnaeus),Hemiptera,Aphididae,Brachycaudus,cardui,
thread bug,Empicoris rubromaculatus (Blackburn),Hemiptera,Reduviidae,Empicoris,rubromaculatus,
threebanded leafhopper,Erythroneura tricincta Fitch,Hemiptera,Cicadellidae,Erythroneura,tricincta,
threecornered alfalfa hopper,Spissistilus festinus (Say),Hemiptera,Membracidae,Spissistilus,festinus,
three-lined cockroach,Luridiblatta (Phyllodromica) trivittata (Serville),Blattodea,Ectobiidae,Luridiblatta,(Phyllodromica) trivittata,
threelined leafroller,Pandemis limitata (Robinson),Lepidoptera,Tortricidae,Pandemis,limitata,
threelined potato beetle,Lema daturophila Kogan & Goeden,Coleoptera,Chrysomelidae,Lema,daturophila,
threespotted flea beetle,Disonycha triangularis (Say),Coleoptera,Chrysomelidae,Disonycha,triangularis,
threestriped blister beetle,Epicauta lemniscata (Fabricius),Coleoptera,Meloidae,Epicauta,lemniscata,
